schemaVersion,suiteId,seed,caseId,exactDepth,algorithm,repetitionIndex,status,solutionDepth,solutionMoves,nodesExpanded,nodesGenerated,limitReason,elapsedMs
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:0|X:0.2|Y:0.0|Z:0.0,2,IDA_STAR,0,SOLVED,2,R_CCW L_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:0|X:0.2|Y:0.0|Z:0.0,2,BFS,0,SOLVED,2,R_CCW L_CW,107,1284,,1
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:0|X:0.2|Y:0.0|Z:0.0,2,BIDIRECTIONAL_BFS,0,SOLVED,2,R_CCW L_CW,2,24,,1
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:15|X:3.2|Y:1.0|Z:0.2,2,BFS,0,SOLVED,2,F_CW L_CCW,60,720,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:15|X:3.2|Y:1.0|Z:0.2,2,BIDIRECTIONAL_BFS,0,SOLVED,2,F_CW L_CCW,2,24,,1
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:15|X:3.2|Y:1.0|Z:0.2,2,IDA_STAR,0,SOLVED,2,F_CW L_CCW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:19|X:2.2|Y:2.1|Z:1.0,2,BIDIRECTIONAL_BFS,0,SOLVED,2,R_CW D_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:19|X:2.2|Y:2.1|Z:1.0,2,IDA_STAR,0,SOLVED,2,R_CW D_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:19|X:2.2|Y:2.1|Z:1.0,2,BFS,0,SOLVED,2,R_CW D_CW,89,1068,,1
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:19|X:0.2|Y:3.2|Z:1.0,2,IDA_STAR,0,SOLVED,2,L_CCW D_CCW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:19|X:0.2|Y:3.2|Z:1.0,2,BFS,0,SOLVED,2,L_CCW D_CCW,119,1428,,2
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:19|X:0.2|Y:3.2|Z:1.0,2,BIDIRECTIONAL_BFS,0,SOLVED,2,L_CCW D_CCW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:15|X:2.2|Y:1.0|Z:0.2,2,BFS,0,SOLVED,2,F_CW R_CW,57,684,,1
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:15|X:2.2|Y:1.0|Z:0.2,2,BIDIRECTIONAL_BFS,0,SOLVED,2,F_CW R_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:15|X:2.2|Y:1.0|Z:0.2,2,IDA_STAR,0,SOLVED,2,F_CW R_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:8|X:1.0|Y:2.2|Z:0.2,2,BIDIRECTIONAL_BFS,0,SOLVED,2,U_CW F_CW,2,24,,0
